epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,127574,0.51354,0.84377,0.40022,1.02312,0,0.9713,0.95084,0.97491,0.91214,0.9639,0.93764,0.95772,0.89853,0.3649,0.74921,0.23191,0.89454,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,129087,0.51394,0.84397,0.39745,1.01712,0,0.97171,0.94626,0.97343,0.9108,0.96268,0.93726,0.95679,0.89679,0.36387,0.71985,0.23413,0.89156,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,130084,0.50902,0.82651,0.40766,1.01804,0,0.96246,0.95115,0.97328,0.90726,0.95607,0.94364,0.95786,0.89407,0.3607,0.71309,0.23649,0.89176,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,131550,0.51142,0.80521,0.40221,1.02039,0,0.97421,0.94321,0.97554,0.91294,0.96737,0.93649,0.96032,0.90188,0.36538,0.7116,0.23964,0.89396,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,133213,0.50068,0.80887,0.39159,1.01463,0,0.96913,0.94809,0.97499,0.91644,0.9607,0.93985,0.96351,0.90528,0.36213,0.72133,0.23499,0.89046,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,134483,0.50772,0.80997,0.39486,1.0175,0,0.96976,0.94978,0.97408,0.91496,0.96219,0.94028,0.95905,0.90052,0.36202,0.723,0.23558,0.8914,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,136386,0.50828,0.82723,0.39871,1.01836,0,0.96708,0.95087,0.97585,0.91525,0.96825,0.93435,0.95684,0.89877,0.36393,0.71722,0.23308,0.89514,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,137525,0.50887,0.80774,0.39059,1.01607,0,0.97368,0.94473,0.97564,0.91696,0.96598,0.93527,0.96038,0.90117,0.35875,0.71726,0.22979,0.8871,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,139352,0.49987,0.79079,0.39371,1.01748,0,0.97568,0.9426,0.9759,0.91691,0.96655,0.93374,0.95765,0.90087,0.36197,0.73416,0.22969,0.88862,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,141209,0.50448,0.78857,0.38689,1.01379,0,0.9753,0.94473,0.97658,0.91715,0.96537,0.93771,0.95823,0.9016,0.36322,0.74831,0.23007,0.88955,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
